Optimizer,Particles,F1_mean,Recall_mean,Precision_mean,AUC_mean,Train_Time_Seconds
PSO,75,90.98,96.74,85.87,95.99,2294.77
GWO,75,90.89,98.08,84.69,90.04,1486.32
ABC,75,90.53,97.12,84.77,95.37,26273.45
CS,75,90.90,96.50,85.90,96.10,2385.61
PSO,50,90.47,96.93,, ,1532.18
GWO,50,90.41,98.56,, ,991.08
ABC,50,90.61,96.64,, ,17515.63
CS,50,90.30,96.50,, ,1590.74
PSO,40,90.33,96.74,, ,1225.44
GWO,40,90.41,97.22,, ,792.64
ABC,40,89.87,98.66,, ,14012.48
CS,40,90.30,96.60,, ,1272.59
PSO,30,90.78,94.92,, ,918.66
GWO,30,90.83,97.32,, ,594.48
ABC,30,89.97,97.22,, ,10509.36
CS,30,90.90,95.70,, ,954.44
